INDEX_NR
INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,PERSON
1569939,12/05/2024,5,2024,     ,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N950AN,1370,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,1500,,5,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Other
1569975,10/05/2024,5,2024,21:45,Night,KMIA,MIAMI INTL,ENY,ENVOY AIR,N287NN,3835,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,400,139,1,5,No Cloud,,,0,0,N,UNKBS,Unknown bird - small,0,0,0,No,1,1,Small,Pilot
1569976,16/06/2024,6,2024,     ,Dawn,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N952XV,,A-321,04A,7,10,,A  ,4,D,2,1,1,,,Approach,1000,130,5,Some Cloud,None,1,0,0,N,UNKB,Unknown bird,0,1,0,Unknown,1,1,,Pilot
1570011,08/05/2024,5,2024,10:00,Day,KMIA,MIAMI INTL,FDX,FEDEX EXPRESS,N590FE,619,MD-11,583,39,22,7,A  ,4,D,3,1,6,1,,Take-off Run,0,120,0,No Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,No,1,1,Small,Pilot
1574322,19/05/2024,5,2024,08:50,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N277NN,3423,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Descent,12700,,25,Some Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Yes,,1,,Pilot
1576305,17/08/2024,8,2024,02:40,Night,KMIA,MIAMI INTL,LCO,LAN CARGO COLUMBIA,N542LA,1500,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Landing Roll,0,85,0,Some Cloud,,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Yes,1,1,Small,Air Transport Operations
1576969,20/08/2024,8,2024,09:00,Day,KMIA,MIAMI INTL,UNKC,UNKNOWN COMMERCIAL,,,B-737,148,95,,,A  ,4,D,2,1,1,,,Approach,100,,,No Cloud,,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Other
1581362,15/02/2024,2,2024,07:50,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N314PD,1196,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,100,152,0,No Cloud,None,,0,0,N,ZT303,Boat-tailed grackle,0,1,0,No,,1,Small,Air Transport Operations
1604981,13/09/2024,9,2024,20:30,Night,KMIA,MIAMI INTL,ENY,ENVOY AIR,N288N,3620,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,700,150,,Some Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,No,,1,,Pilot
1605268,13/09/2024,9,2024,13:35,Day,KMIA,MIAMI INTL,SWA,SOUTHWEST AIRLINES,N8784Q,4480,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,200,145,0,No Cloud,None,,0,0,N,YI005,Barn swallow,0,1,0,Unknown,02-oct,02-oct,Small,Pilot
